Key,ID,English,Korean,Count,SourceEnglish
1,1,Matthew,마태복음,28,Matt
2,2,Mark,마가복음,16,Mark
3,3,Luke,누가복음,24,Luke
4,4,John,요한복음,21,John
5,5,Acts,사도행전,28,Acts
6,6,Romans,로마서,16,Rom
7,7,Corinthians1,고린도전서,16,1Cor
8,8,Corinthians2,고린도후서,13,2Cor
9,9,Galatians,갈라디아서,6,Gal
10,10,Ephesians,에베소서,6,Eph
11,11,Philippians,빌립보서,4,Phil
12,12,Colossians,골로새서,4,Col
13,13,Thessalonians1,데살로니가전서,5,1Thess
14,14,Thessalonians2,데살로니가후서,3,2Thess
15,15,Timothy1,디모데전서,6,1Tim
16,16,Timothy2,디모데후서,4,2Tim
17,17,Titus ,디도서,3,Titus
18,18,Philemon,빌레몬서,1,Philem
19,19,Hebrews,히브리서,13,Heb
20,20,James,야고보서,5,James
21,21,Peter1,베드로전서,5,1Pet
22,22,Peter2,베드로후서,3,2Pet
23,23,John1,요한일서,5,1John
24,24,John2,요한이서,1,2John
25,25,John3,요한삼서,1,3John
26,26,Jude,유다서,1,Jude
27,27,Revelation,요한계시록,22,Rev
