Key,ID,English,Korean,Count,SourceEnglish
1,1,Genesis,창세기,50,Gen
2,2,Exodus,출애굽기,40,Ex
3,3,Leviticus,레위기,27,Lev
4,4,Numbers,민수기,36,Num
5,5,Deuteronomy,신명기,34,Deut
6,6,Joshua,여호수아,24,Josh
7,7,Judges,사사기,21,Judg
8,8,Ruth,룻기,4,Ruth
9,9,Samuel1,사무엘상,31,1Sam
10,10,Samuel2,사무엘하,24,2Sam
11,11,Kings1,열왕기상,22,1Kin
12,12,Kings2,열왕기하,25,2Kin
13,13,Chronicles1,역대상,29,1Chr
14,14,Chronicles2,역대하,36,2Chr
15,15,Ezra,에스라,10,Ezra
16,16,Nehemiah,느헤미야,13,Neh
17,17,Esther,에스더,10,Esther
18,18,Job,욥기,42,Job
19,19,Psalms,시편,150,Ps
20,20,Proverbs,잠언,31,Prov
21,21,Ecclesiastes,전도서,12,Eccles
22,22,SongOfSongs,아가서,8,Song
23,23,Isaiah,이사야,66,Is
24,24,Jeremiah,예레미야,52,Jer
25,25,Lamentations ,예레미야애가,5,Lam
26,26,Ezekiel,에스겔,48,Ezek
27,27,Daniel,다니엘,12,Dan
28,28,Hosea,호세아,14,Hos
29,29,Joel,요엘,3,Joel
30,30,Amos,아모스,9,Amos
31,31,Obadiah,오바댜,1,Obad
32,32,Jonah,요나,4,Jonah
33,33,Micah,미가,7,Mic
34,34,Nahum,나훔,3,Nah
35,35,Habakkuk,하박국,3,Hab
36,36,Zephaniah,스바냐,3,Zeph
37,37,Haggai,학개,2,Hag
38,38,Zechariah,스가랴,14,Zech
39,39,Malachi ,말라기,4,Mal
